optimizador,lr,seed,max_pixel,n_exact,conv_epoch
adam,0.0001,0,0,32,5400
adam,0.0001,1,0,32,6050
adam,0.0001,2,0,32,7050
adam,0.0001,3,0,32,5600
adam,0.0001,42,0,32,6250
adam,0.0005,0,0,32,1250
adam,0.0005,1,0,32,1300
adam,0.0005,2,0,32,1500
adam,0.0005,3,0,32,1400
adam,0.0005,42,0,32,1850
adam,0.001,0,0,32,600
adam,0.001,1,0,32,700
adam,0.001,2,0,32,700
adam,0.001,3,0,32,650
adam,0.001,42,0,32,1100
adam,0.005,0,0,32,200
adam,0.005,1,0,32,200
adam,0.005,2,0,32,250
adam,0.005,3,0,32,200
adam,0.005,42,0,32,250
adam,0.01,0,0,32,150
adam,0.01,1,0,32,150
adam,0.01,2,0,32,150
adam,0.01,3,0,32,150
adam,0.01,42,0,32,150
momentum,0.0001,0,4,19,
momentum,0.0001,1,4,22,
momentum,0.0001,2,6,16,
momentum,0.0001,3,5,19,
momentum,0.0001,42,4,20,
momentum,0.0005,0,0,32,7800
momentum,0.0005,1,0,32,8600
momentum,0.0005,2,0,32,8100
momentum,0.0005,3,0,32,8900
momentum,0.0005,42,0,32,7250
momentum,0.001,0,0,32,5150
momentum,0.001,1,0,32,3900
momentum,0.001,2,0,32,3600
momentum,0.001,3,0,32,6600
momentum,0.001,42,0,32,3800
momentum,0.005,0,0,32,1050
momentum,0.005,1,0,32,850
momentum,0.005,2,0,32,800
momentum,0.005,3,0,32,3050
momentum,0.005,42,0,32,850
momentum,0.01,0,0,32,500
momentum,0.01,1,0,32,400
momentum,0.01,2,0,32,500
momentum,0.01,3,0,32,450
momentum,0.01,42,0,32,500
gd,0.0001,0,14,0,
gd,0.0001,1,13,0,
gd,0.0001,2,11,0,
gd,0.0001,3,13,0,
gd,0.0001,42,11,0,
gd,0.0005,0,9,4,
gd,0.0005,1,6,4,
gd,0.0005,2,7,1,
gd,0.0005,3,6,5,
gd,0.0005,42,7,3,
gd,0.001,0,4,17,
gd,0.001,1,4,23,
gd,0.001,2,6,17,
gd,0.001,3,5,19,
gd,0.001,42,4,19,
gd,0.005,0,0,32,8900
gd,0.005,1,0,32,9400
gd,0.005,2,0,32,12000
gd,0.005,3,0,32,7200
gd,0.005,42,0,32,9100
gd,0.01,0,0,32,4300
gd,0.01,1,0,32,4500
gd,0.01,2,0,32,6250
gd,0.01,3,0,32,3950
gd,0.01,42,0,32,4500
