config,seed,max_pixel,conv_epoch
adam lr=1e-3,0,0,600
adam lr=1e-3,1,0,700
adam lr=1e-3,2,0,700
adam lr=1e-3,3,0,650
adam lr=1e-3,42,0,1100
momentum lr=1e-2,0,0,500
momentum lr=1e-2,1,0,400
momentum lr=1e-2,2,0,500
momentum lr=1e-2,3,0,450
momentum lr=1e-2,42,0,500
gd lr=1e-2,0,0,4300
gd lr=1e-2,1,0,4500
gd lr=1e-2,2,2,
gd lr=1e-2,3,0,3950
gd lr=1e-2,42,1,4500
adam lr=1e-4,0,0,5400
adam lr=1e-4,1,2,
adam lr=1e-4,2,5,
adam lr=1e-4,3,1,5600
adam lr=1e-4,42,2,
adam lr=5e-4,0,0,1250
adam lr=5e-4,1,0,1300
adam lr=5e-4,2,0,1500
adam lr=5e-4,3,0,1400
adam lr=5e-4,42,0,1850
adam lr=5e-3,0,0,200
adam lr=5e-3,1,0,200
adam lr=5e-3,2,0,250
adam lr=5e-3,3,0,200
adam lr=5e-3,42,0,250
