grupo,config,max_pixel,n_exact,n_le1,loss_final,epoca_converge
arquitectura,"poco profunda [35,20,2,20,35]",0,32,32,0.6015917798959793,3650
arquitectura,"media [35,30,15,2,15,30,35]",0,32,32,0.08107105041284912,2800
arquitectura,"profunda/ancha [35,60,40,20,2,...]",0,32,32,0.010851032800390882,600
optimizador,adam lr=0.001,0,32,32,0.010851032800390882,600
optimizador,momentum lr=0.01,0,32,32,0.04901200410967627,500
optimizador,gd lr=0.01,0,32,32,1.440957100151718,4300
learning_rate,adam lr=0.0001,0,32,32,2.0724485213612986,5400
learning_rate,adam lr=0.0005,0,32,32,0.04000270190917447,1250
learning_rate,adam lr=0.001,0,32,32,0.010851032800390882,600
learning_rate,adam lr=0.005,0,32,32,0.0010772957105193365,200
activacion,hidden=tanh,0,32,32,0.010851032800390882,600
activacion,hidden=relu,0,32,32,0.00012027239547437498,700
activacion,hidden=logistic,7,27,29,1.664172063527516,
loss,MSE,3,30,31,0.0634726719120348,700
loss,BCE,0,32,32,0.010851032800390882,600
