arch,seed,n_params,rec_mse,rec_bce,kl
angosta,42,66820,6.7782,117.0221,4.8225
angosta,0,66820,6.8271,117.0887,5.0408
angosta,1,66820,6.7923,117.0248,4.9688
base,42,165124,5.2740,112.8027,5.4986
base,0,165124,5.0867,112.3601,5.5117
base,1,165124,5.0119,112.1708,5.7288
ancha,42,395524,4.3730,110.4455,5.8766
ancha,0,395524,4.3201,110.2804,5.9653
ancha,1,395524,4.4020,110.4895,5.8740
profunda,42,214532,4.3047,110.2532,5.8289
profunda,0,214532,4.2582,110.2133,5.8833
profunda,1,214532,4.4665,110.7114,5.8968
