dim,seed,epochs,rec_final,kl_final,rec_mse
2,0,1000,110.1489,6.0999,3.8325
2,1,1000,110.0427,6.1477,3.8267
2,2,1000,109.9359,6.2574,3.6578
2,3,1000,109.9670,6.2084,3.7346
2,42,1000,110.3267,6.0848,3.8409
8,0,1000,104.2340,9.0574,1.1185
8,1,1000,104.1367,8.9356,1.0682
8,2,1000,104.1937,8.8956,1.0703
8,3,1000,104.5633,8.9182,1.2052
8,42,1000,104.4268,8.9189,1.2224
16,0,1000,104.3171,8.8499,1.2030
16,1,1000,103.9839,8.7194,1.1549
16,2,1000,104.2288,9.1112,1.1410
16,3,1000,104.4627,8.6816,1.2041
16,42,1000,104.4379,9.0606,1.1487
