epoch,total,rec,kl,beta
1,209.171206,208.326393,0.844813,1.0000
2,162.578054,160.755015,1.823039,1.0000
3,157.825410,155.837484,1.987926,1.0000
4,155.090700,153.062647,2.028053,1.0000
5,150.013043,147.625518,2.387525,1.0000
6,144.200523,141.308263,2.892260,1.0000
7,140.552001,137.282500,3.269501,1.0000
8,138.438134,134.996466,3.441669,1.0000
9,136.823600,133.267505,3.556095,1.0000
10,135.632609,132.027675,3.604934,1.0000
11,134.810955,131.054298,3.756657,1.0000
12,133.985683,130.190747,3.794936,1.0000
13,133.480858,129.594171,3.886686,1.0000
14,132.887887,128.929016,3.958871,1.0000
15,132.352887,128.418313,3.934574,1.0000
16,131.982856,128.024597,3.958259,1.0000
17,131.474270,127.465691,4.008580,1.0000
18,130.929921,126.892405,4.037515,1.0000
19,130.732881,126.668085,4.064796,1.0000
20,130.487373,126.392840,4.094534,1.0000
21,130.176198,126.102531,4.073666,1.0000
22,129.689584,125.581224,4.108360,1.0000
23,129.455134,125.152005,4.303130,1.0000
24,129.278008,124.955220,4.322787,1.0000
25,128.712729,124.466467,4.246262,1.0000
26,128.526373,124.147216,4.379157,1.0000
27,128.346956,124.023734,4.323222,1.0000
28,128.161459,123.804776,4.356683,1.0000
29,127.763828,123.383622,4.380206,1.0000
30,127.411646,123.042102,4.369544,1.0000
31,127.326355,123.003440,4.322916,1.0000
32,127.080515,122.551407,4.529108,1.0000
33,126.857875,122.369076,4.488799,1.0000
34,127.107184,122.609551,4.497633,1.0000
35,126.383321,121.764403,4.618917,1.0000
36,126.323726,121.874528,4.449197,1.0000
37,126.172092,121.597817,4.574275,1.0000
38,126.019265,121.489569,4.529696,1.0000
39,125.954276,121.449158,4.505117,1.0000
40,125.942501,121.385098,4.557403,1.0000
41,125.958226,121.422251,4.535976,1.0000
42,125.769667,121.074639,4.695028,1.0000
43,125.859671,121.297303,4.562368,1.0000
44,125.563995,121.025105,4.538889,1.0000
45,125.484544,120.809407,4.675137,1.0000
46,125.516287,120.890846,4.625441,1.0000
47,125.476638,120.842631,4.634007,1.0000
48,125.227504,120.554026,4.673477,1.0000
49,125.039577,120.401163,4.638414,1.0000
50,125.003272,120.351778,4.651494,1.0000
51,124.949566,120.251156,4.698411,1.0000
52,124.816732,120.142936,4.673796,1.0000
53,124.822313,120.080697,4.741615,1.0000
54,124.890579,120.157720,4.732858,1.0000
55,125.026454,120.261965,4.764489,1.0000
56,125.196336,120.542216,4.654120,1.0000
57,124.824902,120.115551,4.709351,1.0000
58,124.633675,119.873278,4.760396,1.0000
59,124.627788,119.925622,4.702166,1.0000
60,124.476458,119.747189,4.729269,1.0000
61,124.409222,119.720721,4.688501,1.0000
62,124.437477,119.697327,4.740150,1.0000
63,124.293281,119.542267,4.751015,1.0000
64,124.368880,119.647420,4.721460,1.0000
65,124.346030,119.679768,4.666262,1.0000
66,124.498413,119.857239,4.641174,1.0000
67,124.570862,119.869183,4.701678,1.0000
68,124.078314,119.334528,4.743786,1.0000
69,124.266619,119.544572,4.722047,1.0000
70,123.915044,119.133514,4.781530,1.0000
71,124.229036,119.461243,4.767792,1.0000
72,124.048670,119.208230,4.840440,1.0000
73,123.775493,119.048772,4.726721,1.0000
74,123.768219,118.956009,4.812211,1.0000
75,123.890333,119.106406,4.783927,1.0000
76,123.819244,119.073204,4.746040,1.0000
77,123.817845,119.039739,4.778106,1.0000
78,123.794663,118.910963,4.883699,1.0000
79,123.497567,118.756035,4.741532,1.0000
80,123.650283,118.884688,4.765595,1.0000
81,123.765454,119.027946,4.737508,1.0000
82,123.680088,118.917269,4.762819,1.0000
83,123.435029,118.709602,4.725427,1.0000
84,123.567424,118.796934,4.770490,1.0000
85,123.624049,118.791237,4.832811,1.0000
86,123.488242,118.684069,4.804172,1.0000
87,123.504175,118.700114,4.804061,1.0000
88,123.363289,118.527236,4.836053,1.0000
89,123.210568,118.421952,4.788616,1.0000
90,123.464281,118.604739,4.859543,1.0000
91,123.327313,118.543779,4.783534,1.0000
92,123.267354,118.459645,4.807709,1.0000
93,123.335356,118.532448,4.802908,1.0000
94,123.248204,118.468835,4.779369,1.0000
95,123.204020,118.421314,4.782706,1.0000
96,123.235301,118.380339,4.854962,1.0000
97,123.063075,118.179962,4.883112,1.0000
98,123.337487,118.493994,4.843492,1.0000
99,123.182044,118.171474,5.010570,1.0000
100,123.003010,118.142087,4.860923,1.0000
101,123.148613,118.365626,4.782986,1.0000
102,123.041663,118.211814,4.829849,1.0000
103,123.158261,118.237892,4.920369,1.0000
104,123.093787,118.214350,4.879437,1.0000
105,123.079381,118.137625,4.941756,1.0000
106,122.917176,117.933433,4.983743,1.0000
107,122.984957,118.126530,4.858427,1.0000
108,122.900465,117.988311,4.912154,1.0000
109,123.086248,118.166958,4.919290,1.0000
110,122.918793,118.038826,4.879967,1.0000
111,122.742764,117.821460,4.921304,1.0000
112,122.720799,117.834901,4.885899,1.0000
113,122.753173,117.844977,4.908196,1.0000
114,122.608144,117.741655,4.866489,1.0000
115,122.682194,117.763239,4.918956,1.0000
116,122.759572,117.819881,4.939692,1.0000
117,122.714177,117.729515,4.984662,1.0000
118,122.555885,117.619319,4.936566,1.0000
119,122.605611,117.693700,4.911911,1.0000
120,122.569166,117.679720,4.889445,1.0000
121,122.709278,117.845594,4.863685,1.0000
122,122.559448,117.536031,5.023417,1.0000
123,122.444430,117.565059,4.879371,1.0000
124,122.567421,117.644201,4.923221,1.0000
125,122.615792,117.623761,4.992031,1.0000
126,122.421483,117.512294,4.909189,1.0000
127,122.471670,117.478791,4.992879,1.0000
128,122.414414,117.479490,4.934924,1.0000
129,122.425005,117.411151,5.013853,1.0000
130,122.410419,117.526101,4.884318,1.0000
131,122.413733,117.468061,4.945672,1.0000
132,122.565071,117.706150,4.858921,1.0000
133,122.400467,117.326249,5.074218,1.0000
134,122.317770,117.372509,4.945262,1.0000
135,122.219542,117.145396,5.074146,1.0000
136,122.326075,117.401281,4.924794,1.0000
137,122.472370,117.465792,5.006578,1.0000
138,122.273966,117.310438,4.963528,1.0000
139,122.383158,117.382496,5.000662,1.0000
140,122.311625,117.338523,4.973102,1.0000
141,122.167908,117.081341,5.086567,1.0000
142,122.146681,117.156945,4.989736,1.0000
143,122.095614,116.987879,5.107735,1.0000
144,121.997826,117.034221,4.963605,1.0000
